CODCLAVECICBENEFICIARIO|CODCLAVECICSOLICITANTE|PERIODO|FECDIA|HORINITRANSACCION|CODSUCAGE|CODSESION|CODINTERNOTRANSACCION|CODTRANSACCIONVENTANILLA|DESTRANSACCIONVENTANILLA|ACTV_BENEFICIARIO|TIPPER_BENEFICIARIO|FLG_FFNN_BENEFICIARIO|FLG_FFNN_SOLICITANTE|TIPBANCA_BENEFICIARIO|TIPBANCA_SOLICITANTE|MTOTRANSACCION|TIPPER_SOLICITANTE|DESBANCA_BENEFICIARIO|DESBANCA_SOLICITANTE|FECONS_BENEFICIARIO|FECONS_SOL|FLG_AN_BENEFICIARIO|FLG_AN_SOLICITANTE|FLG_REL|FLG_ROS_BEN|FLG_ROS_SOL
12106528|19536336|202312|06/12/23|18:35:41|365000|765|801219201599|60|Depósito Aho|9309|P|1|1|P|P|233300.00|P|BANCA PERSONAL                     |BANCA PERSONAL                     |||0|0|0|0|0
15915913|15040949|202312|29/12/23|14:25:29|535000|304|801228594781|62|Depósito Cte|5190|E|1|0|P|P|608970.00|P|BANCA PERSONAL                     |BANCA PERSONAL                     |08/01/16||0|0|1|0|0
11346828|2881506|202312|30/12/23|12:35:18|194000|288|801229151453|62|Depósito Cte|5190|E|1|0|P|P|234233.74|P|BANCA PERSONAL                     |BANCA PERSONAL                     |04/03/13||0|0|0|0|0
8413947|8413951|202312|07/12/23|13:32:57|215000|523|801219485032|62|Depósito Cte|1920|E|1|0|P|P|250000.00|P|BANCA PERSONAL                     |BANCA PERSONAL                     |04/05/09||0|0|1|0|0
12330748|2856826|202312|13/12/23|18:09:25|215013|582|801221595552|116|Credipago con validación por rangos|5141|E|1|0|C|P|222473.73|P|BANCA CORPORATIVA                  |BANCA PERSONAL                     |16/09/13||0|0|0|0|0
71264|8544558|202312|15/12/23|18:10:12|191061|581|902657548379|117|Credipago without validation|5190|E|1|0|C|P|211571.46|P|BANCA CORPORATIVA                  |BANCA PERSONAL                     |04/01/38||0|0|1|0|0
18006|12440935|202312|15/12/23|11:55:58|540002|182|801222365713|62|Depósito Cte|1511|E|1|0|E|P|208261.30|P|EMPRESA                            |BANCA PERSONAL                     |21/12/93||0|0|1|0|0
23980138|26545407|202312|27/12/23|16:57:40|335000|699|801227563120|117|Credipago without validation|5233|E|1|0|E|P|233080.00|P|EMPRESA                            |BANCA PERSONAL                     |02/01/20||0|0|0|0|0
29088507|28022990|202312|21/12/23|12:01:15|285000|318|902659661434|60|Depósito Aho|0099|P|0|0|P|P|213023.60|P|BANCA PERSONAL                     |BANCA PERSONAL                     |||0|0|0|0|1
69556|8217618|202312|30/12/23|12:39:45|395000|189|902663116534|62|Depósito Cte|5122|E|1|0|E|P|358490.00|P|EMPRESA                            |BANCA PERSONAL                     |01/02/85||0|0|0|0|0
69556|10585000|202312|11/12/23|12:27:49|395000|131|902655218120|62|Depósito Cte|5122|E|1|0|E|P|398220.00|P|EMPRESA                            |BANCA PERSONAL                     |01/02/85||0|0|0|0|0
69556|10585000|202312|11/12/23|13:00:49|395000|131|902655247161|62|Depósito Cte|5122|E|1|0|E|P|284790.00|P|EMPRESA                            |BANCA PERSONAL                     |01/02/85||0|0|0|0|0
69556|23323429|202312|16/12/23|10:47:00|395000|70|902657688900|62|Depósito Cte|5122|E|1|0|E|P|293610.00|P|EMPRESA                            |BANCA PERSONAL                     |01/02/85||0|0|0|0|0
10229908|12860973|202312|19/12/23|15:51:31|191004|401|902658818655|62|Depósito Cte|9309|E|1|1|P|P|200000.00|P|BANCA PERSONAL                     |BANCA PERSONAL                     |01/11/11||0|0|1|0|0
25884015|3351117|202312|15/12/23|18:09:45|310004|258|801222755138|62|Depósito Cte|7414|E|1|0|P|P|315200.00|P|BANCA PERSONAL                     |BANCA PERSONAL                     |22/09/15||0|0|0|0|0
33884|58864|202312|12/12/23|14:45:15|305000|625|801220824486|62|Depósito Cte|5122|E|1|1|E|E|250424.30|P|EMPRESA                            |EMPRESA                            |09/07/79||0|0|1|0|1
2519265|13807114|202312|22/12/23|14:13:21|191000|526|801225892510|84|Emision de Cheques de Ger|0091|P|1|0|P|P|320030.00|P|BANCA PERSONAL                     |BANCA PERSONAL                     |||0|0|0|0|0
8851327|2483740|202312|13/12/23|15:20:35|570000|909|902656402529|62|Depósito Cte|6719|E|1|0|C|P|426425.30|P|BANCA CORPORATIVA                  |BANCA PERSONAL                     |24/08/17||0|0|0|0|0
10578231|12059072|202312|04/12/23|11:20:55|215002|331|902653075564|62|Depósito Cte|7414|E|1|1|P|P|200000.00|P|BANCA PERSONAL                     |BANCA PERSONAL                     |04/11/11||0|0|1|0|0
26871461|8594007|202312|20/12/23|09:36:43|485000|20|801224418571|62|Depósito Cte|9309|E|1|1|P|P|300000.00|P|BANCA PERSONAL                     |BANCA PERSONAL                     |19/06/18||0|0|1|0|0
8637421|5224738|202312|14/12/23|12:59:00|380000|335|801221856091|62|Depósito Cte|6712|E|1|1|C|C|438546.60|E|BANCA CORPORATIVA                  |BANCA CORPORATIVA                  |02/11/16|01/09/05|0|0|0|0|0
8637421|5224738|202312|05/12/23|12:12:49|380000|311|801218237286|62|Depósito Cte|6712|E|1|1|C|C|479393.60|E|BANCA CORPORATIVA                  |BANCA CORPORATIVA                  |02/11/16|01/09/05|0|0|0|0|0
8637421|5573766|202312|12/12/23|14:25:11|380000|443|801220806807|62|Depósito Cte|6712|E|1|1|C|P|888329.60|E|BANCA CORPORATIVA                  |BANCA PERSONAL                     |02/11/16|20/07/06|0|0|0|0|0
8637421|5385203|202312|02/12/23|12:49:46|380000|296|801217342897|62|Depósito Cte|6712|E|1|0|C|P|590285.60|P|BANCA CORPORATIVA                  |BANCA PERSONAL                     |02/11/16||0|0|0|0|0
9808217|10011712|202312|05/12/23|17:06:52|215011|586|902653923255|62|Depósito Cte|4520|E|0|0|P|P|325641.00|P|BANCA PERSONAL                     |BANCA PERSONAL                     |03/12/03||0|0|0|0|0
13807114|13807114|202312|22/12/23|14:12:49|191000|526|801225887126|60|Depósito Aho|0099|P|0|0|P|P|320000.00|P|BANCA PERSONAL                     |BANCA PERSONAL                     |||0|0|0|0|0
8873851|8873851|202312|21/12/23|14:19:37|380000|370|801225307105|62|Depósito Cte|7411|E|1|1|P|P|353402.80|E|BANCA PERSONAL                     |BANCA PERSONAL                     |25/10/06|25/10/06|0|0|0|0|0
11268612|11268612|202312|20/12/23|14:17:15|245000|343|801224708202|60|Depósito Aho|0091|P|0|0|P|P|203000.00|P|BANCA PERSONAL                     |BANCA PERSONAL                     |||0|0|0|0|0
2069075|19874405|202312|02/12/23|12:15:48|290000|161|902652862256|60|Depósito Aho|0099|P|1|0|P|P|210000.00|P|BANCA PERSONAL                     |BANCA PERSONAL                     |||0|0|0|0|0
19536547|19536336|202312|06/12/23|18:26:38|365000|765|801219197645|62|Depósito Cte|5190|E|1|1|P|P|200000.00|P|BANCA PERSONAL                     |BANCA PERSONAL                     |03/05/17||0|0|0|0|0
27851670|9666002|202312|30/12/23|11:42:58|310000|248|801229082481|62|Depósito Cte|9309|E|1|0|P|P|350000.00|P|BANCA PERSONAL                     |BANCA PERSONAL                     |29/12/17||0|0|0|0|0
8851327|10524240|202312|16/12/23|11:59:20|335000|324|801222995730|62|Depósito Cte|6719|E|1|0|C|P|644384.90|P|BANCA CORPORATIVA                  |BANCA PERSONAL                     |24/08/17||0|0|0|0|0
12844012|11980486|202312|26/12/23|13:30:54|305000|508|801226778399|62|Depósito Cte|5122|E|1|0|C|P|252610.00|P|BANCA CORPORATIVA                  |BANCA PERSONAL                     |25/03/14||0|0|0|0|0
12844012|11980486|202312|18/12/23|15:14:09|305000|740|801223522393|62|Depósito Cte|5122|E|1|0|C|P|213140.00|P|BANCA CORPORATIVA                  |BANCA PERSONAL                     |25/03/14||0|0|0|0|0
12844012|11980486|202312|21/12/23|18:08:31|305000|1132|801225535414|62|Depósito Cte|5122|E|1|0|C|P|210180.00|P|BANCA CORPORATIVA                  |BANCA PERSONAL                     |25/03/14||0|0|0|0|0
14378850|10012961|202312|21/12/23|12:52:23|220000|362|801225227420|62|Depósito Cte|6603|E|1|0|E|P|300330.00|P|EMPRESA                            |BANCA PERSONAL                     |30/01/15||0|0|0|0|0
13906912|23351531|202312|07/12/23|10:37:56|191015|56|801219312022|117|Credipago without validation|5122|E|1|0|E|P|300000.00|P|EMPRESA                            |BANCA PERSONAL                     |05/11/14||0|0|1|0|0
