CODCLAVECICBENEFICIARIO|CODCLAVECICSOLICITANTE|PERIODO|FECDIA|CODSUCAGE|CODSESION|CODINTERNOTRANSACCION|CODTRANSACCIONVENTANILLA|MTOTRANSACCION|FLG_MTO_P25|FLG_MTO_P50|FLG_MTO_P75|FLG_MTO_P90|FLG_AN|TIPPER|FLG_NUEVA_BEN|dif2|FLG_NUEVA_SOL|FLG_NUEVA|FLG_BANCA|PERSONA_SOL|EMPRESA_SOL|PERSONA_BEN|EMPRESA_BEN|FLG_ROS|FLG_MTO|FLG_NOREL|MTOTRANSACCION_ES|TIPPER_BEN|TIPPER_SOL|MTO_P95|MTOTRANSACCION_ES95|FLG_ROS_BEN|FLG_ROS_SOL|N_Cluster
3747455.0|6209959.0|202312|11/12/23|405000|190|801219966572|62|237970.59|1|0|0|0|0|0|0|7808.0|0|0|1|1|0|1|0|0|0|1|237970.59|1|0|237970.59|237970.59|0|0|9
8637421.0|7340839.0|202312|02/12/23|380000|311|801217347510|62|498159.2|0|0|1|0|0|0|0|2558.0|0|0|1|1|0|0|0|0|0|1|498159.2|1|0|498159.2|498159.2|0|0|14
3176372.0|11230255.0|202312|11/12/23|191020|134|801220008244|113|255635.0|1|0|0|0|0|0|0|10997.0|0|0|1|1|0|0|1|0|0|1|255635.0|1|0|255635.0|255635.0|0|1|0
6135938.0|19960690.0|202312|29/12/23|285000|395|902662569284|117|305000.0|0|1|0|0|0|0|0|6224.0|0|0|1|1|0|1|0|0|0|1|305000.0|1|0|305000.0|305000.0|1|0|2
1827918.0|1827918.0|202312|18/12/23|395000|487|902658303609|60|300000.0|0|1|0|0|0|1|0||0|0|1|1|0|1|0|1|0|1|300000.0|0|0|300000.0|300000.0|1|1|2
9527788.0|9527788.0|202312|07/12/23|480000|230|902654658975|62|574650.0|0|0|1|0|0|0|0|4569.0|0|0|0|0|1|0|1|1|1|1|574650.0|1|1|574650.0|574650.0|1|1|13
9527788.0|9527788.0|202312|04/12/23|480000|148|902653062367|62|207750.0|0|0|0|0|0|0|0|4478.0|0|0|0|0|1|0|1|1|0|1|207750.0|1|1|207750.0|207750.0|1|1|0
9527788.0|9527788.0|202312|26/12/23|480000|186|902660940977|62|224670.0|0|0|0|0|0|0|0|4736.0|0|0|0|0|1|0|1|1|0|1|224670.0|1|1|224670.0|224670.0|1|1|0
10083609.0|12295534.0|202312|27/12/23|220000|304|801227352610|62|208855.3|0|0|0|0|0|0|0|4347.0|0|0|1|1|0|1|0|0|0|1|208855.3|1|0|208855.3|208855.3|1|0|7
16217.0|3012808.0|202312|26/12/23|435002|334|801227064488|115|376154.87|0|1|0|0|0|0|0|9142.0|0|0|1|1|0|0|0|0|0|1|376154.87|1|0|376154.87|376154.87|0|0|10
65798.0|154833.0|202312|28/12/23|355004|370|902662302427|115|260000.0|1|0|0|0|0|0|0|10586.0|0|0|1|1|0|0|0|0|0|1|260000.0|1|0|260000.0|260000.0|0|0|5
